id;name;latitude;longitude;typeLandCode;countryCode;population;dem;isLoad
40;Breda;51.58656;4.77596;1;1;167673;9;1
41;Breukelen;52.17417;5.00139;1;1;14498;2;1
42;Brummen;52.09;6.15556;1;1;21344;12;1
43;Brunssum;50.94667;5.97083;1;1;29254;79;1
44;Bussum;52.27333;5.16111;1;1;31334;4;1
45;Capelle aan den IJssel;51.92917;4.57778;1;1;65255;-2;1
46;Carnisse;51.88932;4.47758;1;1;11225;2;1
47;Castricum;52.54833;4.66944;1;1;35256;3;1
48;Coevorden;52.66103;6.74046;1;1;14600;14;1
49;Cranendonck;51.30417;5.58889;1;1;19966;31;1
50;Culemborg;51.955;5.22778;1;1;26826;6;1
51;Dalfsen;52.51167;6.25694;1;1;26575;4;1
52;De Lier;51.975;4.24861;1;1;11823;0;1
53;De Meern;52.08167;5.03611;1;1;22116;3;1
54;Delft;52.00667;4.35556;1;1;95060;1;1
55;Delfzijl;53.33;6.91806;1;1;28649;0;1
56;Den Helder;52.95988;4.75933;1;1;59569;3;1
57;Deventer;52.255;6.16389;1;1;97331;12;1
58;Diemen;52.33964;4.96256;1;1;24361;2;1
59;Dieren;52.0512;6.103;1;1;14842;12;1
60;Doesburg;52.0125;6.13889;1;1;11480;13;1
61;Doetinchem;51.965;6.28889;1;1;49906;17;1
62;Dokkum;53.32224;5.99697;3;1;12669;2;1
63;Dongen;51.62667;4.93889;1;1;25464;6;1
64;Doorn;52.03343;5.34571;1;1;10330;10;1
65;Dordrecht;51.81;4.67361;1;1;119260;3;1
66;Drachten;53.11254;6.0989;3;1;44537;3;1
67;Driebergen-Rijsenburg;52.05333;5.28056;1;1;18553;9;1
68;Dronten;52.525;5.71806;1;1;28073;-1;1
69;Duiven;51.94667;6.01389;1;1;25469;10;1
70;Ede;52.03333;5.65833;1;1;67670;20;1
71;Eerbeek;52.105;6.05833;1;1;10103;20;1
72;Eersel;51.3575;5.31806;1;1;18185;30;1
73;Eibergen;52.1;6.64861;1;1;16493;26;1
74;Eijsden;50.78;5.7177;1;1;11795;58;1
75;Eindhoven;51.44083;5.47778;1;1;209620;22;1
76;Elburg;52.4475;5.84306;1;1;21844;0;1
77;Elst;51.91917;5.84167;1;1;20488;10;1
78;Emmeloord;52.71083;5.74861;1;1;46409;-1;1
79;Emmen;52.77917;6.90694;1;1;57010;19;1
80;Enkhuizen;52.70333;5.29167;1;1;17365;2;1
81;Enschede;52.21833;6.89583;1;1;153655;45;1
82;Epe;52.3475;5.98333;1;1;33385;16;1
83;Ermelo;52.29833;5.62222;1;1;10255;15;1
84;Franeker;53.18546;5.54123;1;1;12996;4;1
85;Geertruidenberg;51.70167;4.85694;1;1;20941;3;1
86;Geldermalsen;51.88083;5.28889;1;1;25734;5;1
87;Geldrop;51.42167;5.55972;1;1;27900;21;1
88;Geleen;50.97417;5.82917;1;1;32790;66;1
89;Gemert;51.55583;5.69028;1;1;15995;18;1
90;Gennep;51.69833;5.97361;1;1;16642;14;1
91;Goedereede;51.8175;3.98056;1;1;11597;2;1
92;Goes;51.50417;3.88889;1;1;36931;4;1
93;Goirle;51.52083;5.06667;1;1;22646;17;1
94;Goor;52.23333;6.58611;1;1;11460;13;1
95;Gorinchem;51.83652;4.97243;1;1;34736;3;1
96;Gouda;52.01667;4.70833;1;1;71952;1;1
97;Grave;51.75902;5.73882;1;1;12999;13;1
98;Groesbeek;51.77667;5.93611;1;1;18741;39;1
99;Groningen;53.21917;6.56667;2;1;238147;16;1
100;Haaksbergen;52.15667;6.73889;1;1;24137;27;1
101;Haarlem;52.38084;4.63683;2;1;147590;10;1
102;Hardenberg;52.57583;6.61944;1;1;57909;11;1
103;Harderwijk;52.34167;5.62083;1;1;40516;4;1
104;Harenkarspel;52.73416;4.77682;1;1;15941;-3;1
105;Harlingen;53.17477;5.42244;1;1;16119;3;1
106;Hattem;52.475;6.06389;1;1;11876;5;1
107;Heemskerk;52.51108;4.67165;3;1;39164;5;1
108;Heemstede;52.34992;4.62301;1;1;25562;2;1
109;Heerenveen;52.95929;5.91854;1;1;43094;0;1
110;Heerhugowaard;52.67144;4.84862;1;1;47580;-1;1
111;Heerlen;50.88365;5.98154;1;1;93084;114;1
112;Heesch;51.73362;5.52672;1;1;12810;9;1
113;Heiloo;52.60252;4.68815;3;1;23464;2;1
114;Hellevoetsluis;51.83333;4.13333;1;1;21927;0;1
115;Helmond;51.48167;5.66111;1;1;74740;19;1
116;Hendrik-Ido-Ambacht;51.84417;4.63889;1;1;21027;-3;1
117;Hengelo;52.26583;6.79306;3;1;102773;18;1
118;Hillegom;52.29083;4.58333;1;1;18419;0;1
119;Hilversum;52.22333;5.17639;1;1;83640;7;1
120;Hoensbroek;50.92387;5.92528;1;1;25000;85;1
121;Hoofddorp;52.3025;4.68889;1;1;132734;-2;1
122;Hoogeveen;52.7225;6.47639;1;1;38754;14;1
123;Hoogezand;53.16167;6.76111;1;1;21480;2;1
124;Hoogland;52.1825;5.37361;1;1;10587;3;1
125;Hoogvliet;51.86333;4.3625;1;1;34950;-1;1
126;Hoorn;52.6425;5.05972;1;1;68852;3;1
127;Horst;51.45417;6.05139;1;1;13365;27;1
128;Huizen;52.29917;5.24167;1;1;41273;4;1
129;IJmuiden;52.4603;4.61048;1;1;31925;11;1
130;IJsselstein;52.02;5.04306;1;1;33886;6;1
131;Joure;52.9657;5.80301;3;1;13090;1;1
132;Kampen;52.555;5.91111;1;1;48980;2;1
133;Katwijk aan Zee;52.20333;4.39861;1;1;20010;8;1
134;Kerkrade;50.86583;6.0625;1;1;49777;157;1
135;Klazienaveen;52.72417;6.99028;1;1;11919;18;1
